State,Gender,Age,Smoke,SmokingFriends,WorkingParents,SeenSmokerInSchool,SeenSmokerInPublicPlace,SeenSmokerInEnclosedPlace,SeenSmokerInHome,SmokingFather,SmokingMother
Portugal,Female,15 years old,True,1,2,2,2,2,1,True,True
Portugal,Female,15 years old,True,2,3,2,2,2,1,False,False
Portugal,Male,14 years old,False,1,2,2,3,2,1,True,True
Portugal,Female,15 years old,True,2,2,2,3,2,1,True,True
Portugal,Male,14 years old,True,2,3,2,3,2,2,True,True
Portugal,Male,14 years old,False,1,3,1,2,2,2,True,True
Portugal,Female,15 years old,True,1,2,1,2,2,2,True,True
Portugal,Male,16 years old,True,1,3,2,2,2,2,False,True
Portugal,Female,14 years old,True,1,2,2,1,2,1,True,True
Portugal,Female,16 years old,False,1,3,1,1,2,1,False,False
Portugal,Male,15 years old,True,1,2,1,3,1,1,True,True
Portugal,Male,16 years old,True,1,3,2,2,1,1,True,False
Portugal,Male,12 years old,False,1,1,2,3,2,2,False,True
Portugal,Male,12 years old,False,1,2,1,1,2,2,True,True
Portugal,Female,15 years old,True,1,3,1,3,2,1,True,False
Portugal,Male,13 years old,True,1,2,2,3,2,1,True,True
Portugal,Male,13 years old,False,2,1,1,2,3,2,False,False
Portugal,Male,14 years old,True,1,2,2,3,2,2,False,True
Portugal,Male,12 years old,False,1,3,1,3,2,1,True,True
Portugal,Male,13 years old,True,1,2,1,2,2,1,True,True
Portugal,Female,15 years old,True,2,3,2,3,2,2,False,True
Portugal,Male,14 years old,False,1,3,1,2,2,2,True,True
Portugal,Male,12 years old,False,1,1,1,3,2,1,True,True
Portugal,Female,12 years old,False,2,2,1,3,2,2,False,False
Portugal,Female,12 years old,True,1,1,2,3,3,1,True,True
Portugal,Male,12 years old,False,2,3,1,1,1,2,True,True
Portugal,Female,13 years old,True,1,3,1,3,1,1,False,True
Portugal,Female,13 years old,False,1,3,1,1,2,2,True,True
Portugal,Female,13 years old,False,2,3,1,1,2,2,True,True
Portugal,Female,13 years old,False,2,2,2,3,1,2,False,False
Portugal,Female,14 years old,False,1,2,1,3,2,1,False,False
Portugal,Female,15 years old,False,1,1,1,1,1,1,False,False
Portugal,Female,16 years old,True,2,2,2,2,2,1,True,False
Portugal,Female,13 years old,True,1,1,1,3,3,2,False,False
Portugal,Female,14 years old,True,2,3,1,3,2,1,False,True
Portugal,Female,13 years old,True,1,1,2,3,3,2,False,False
Portugal,Female,15 years old,True,2,2,1,3,2,1,True,True
Portugal,Female,13 years old,True,1,3,1,1,2,2,True,True
Portugal,Male,12 years old,False,1,2,2,3,2,2,True,True
Portugal,Female,14 years old,True,1,3,1,3,2,1,False,True
Portugal,Female,15 years old,True,1,2,1,1,2,2,False,True
Portugal,Male,13 years old,False,1,2,1,2,2,1,True,True
Portugal,Female,12 years old,True,1,3,1,2,2,1,False,True
Portugal,Male,12 years old,False,2,2,2,3,2,1,False,False
Portugal,Female,13 years old,False,2,2,1,2,3,2,True,True
Portugal,Female,14 years old,False,2,2,2,3,2,1,True,True
Portugal,Female,14 years old,False,1,2,2,3,2,1,True,True
Portugal,Female,15 years old,True,1,3,1,3,2,2,True,True
Portugal,Female,14 years old,False,1,3,1,3,2,1,True,True
Portugal,Female,14 years old,True,1,2,1,1,1,2,True,False
Portugal,Male,16 years old,True,1,2,2,2,2,2,False,True
Portugal,Female,13 years old,True,3,3,2,3,2,2,True,False
Portugal,Female,13 years old,True,1,3,2,2,2,1,True,False
Portugal,Male,14 years old,True,2,2,2,3,2,2,True,True
Portugal,Male,14 years old,True,2,3,2,3,2,2,True,True
Portugal,Female,14 years old,False,1,1,1,3,2,2,False,False
Portugal,Female,14 years old,False,2,2,1,2,2,2,False,False
Portugal,Female,14 years old,True,1,3,2,3,2,1,True,False
Portugal,Male,14 years old,False,1,3,2,3,2,2,True,True
Portugal,Female,13 years old,True,2,3,1,2,2,1,False,True
Portugal,Female,15 years old,True,1,3,2,2,2,1,True,False
Portugal,Male,14 years old,False,2,1,1,3,2,1,False,False
Portugal,Female,13 years old,True,1,2,2,3,2,2,False,True
Portugal,Female,15 years old,True,1,3,1,2,2,1,False,True
Portugal,Male,16 years old,True,2,4,1,2,2,2,True,True
Portugal,Female,14 years old,False,1,2,1,3,2,2,True,True
Portugal,Female,16 years old,False,1,3,1,2,2,1,True,True
Portugal,Male,14 years old,False,1,2,1,2,2,1,False,False
Portugal,Male,15 years old,True,1,2,1,2,2,1,True,True
Portugal,Female,13 years old,True,2,2,1,3,2,2,True,True
Portugal,Female,13 years old,True,2,3,1,3,2,1,True,False
Portugal,Male,13 years old,True,2,2,2,3,2,2,True,True
Portugal,Female,17 years old or older,False,1,3,2,2,2,1,True,True
Portugal,Female,14 years old,True,2,2,2,3,2,1,True,True
Portugal,Female,14 years old,True,1,2,2,3,2,1,True,True
Portugal,Male,14 years old,False,2,1,2,3,2,1,False,False
Portugal,Male,16 years old,True,1,3,2,3,2,1,False,True
Portugal,Female,13 years old,False,1,2,1,3,2,1,True,True
Portugal,Male,13 years old,False,2,3,2,3,2,1,True,True
Portugal,Male,14 years old,True,1,1,2,2,3,1,False,False
Portugal,Female,13 years old,True,1,2,1,3,2,1,True,False
Portugal,Male,15 years old,False,1,2,1,1,2,2,True,False
Portugal,Female,14 years old,False,1,2,2,2,2,1,False,True
Portugal,Female,14 years old,True,1,3,1,3,2,2,True,True
Portugal,Female,15 years old,False,1,2,1,2,2,1,True,True
Portugal,Male,14 years old,False,1,1,2,2,2,1,False,False
Portugal,Male,15 years old,False,1,3,1,2,2,1,True,True
Portugal,Female,14 years old,True,1,3,2,3,2,1,False,True
Portugal,Male,13 years old,True,1,2,1,3,2,1,False,True
Portugal,Male,14 years old,True,2,3,1,3,2,1,False,True
Portugal,Male,12 years old,True,1,2,1,3,2,1,False,True
Portugal,Female,14 years old,True,1,3,2,3,2,1,False,True
Portugal,Male,15 years old,False,2,4,1,2,2,2,True,False
Portugal,Female,14 years old,False,1,3,1,2,2,2,True,True
Portugal,Female,14 years old,False,1,2,1,2,2,2,True,True
Portugal,Female,15 years old,True,1,2,1,3,2,2,False,True
Portugal,Male,13 years old,True,1,1,2,3,2,1,True,True
Portugal,Male,14 years old,True,1,1,1,1,2,2,False,False
Portugal,Male,15 years old,False,2,2,1,2,2,1,True,True
Portugal,Female,16 years old,True,2,3,2,3,2,1,False,True
Portugal,Female,14 years old,True,1,2,2,3,3,1,False,True
Portugal,Female,14 years old,True,2,3,1,2,2,1,True,False
Portugal,Female,15 years old,True,1,3,2,3,2,1,True,False
Portugal,Male,14 years old,True,2,2,2,3,2,2,True,False
Portugal,Male,15 years old,False,2,1,1,3,3,2,False,False
Portugal,Male,15 years old,False,2,2,1,3,3,2,False,False
Portugal,Male,15 years old,True,1,2,1,2,2,1,True,True
Portugal,Male,15 years old,False,1,2,1,3,3,2,False,True
Portugal,Female,13 years old,True,1,2,2,3,1,1,False,True
Portugal,Female,14 years old,True,2,3,1,3,2,2,False,True
