FinalWgt,CR1,CR2,GRR3,GRR4,OR1,GRR6,GRR7,CR5,CR6,CR7,CR8,OR5,CR9,CR10,GRR15,CR11,GRR17,CR13,CR14,GRR20,GRR21,GRR22,CR15,CR16,CR17,CR18,GRR27,GRR28,CR19,GRR30,GRR31,CR20,CR21,CR22,CR23,CR24,CR25,GRR38,CR26,CR27,OR22,CR28,GRR43,GRR44,CR30,CR31,CR32,OR25,CR33,CR34,CR35,GRR52,CR37,CR38,CR39,CR40,CR41,CR42,CR43,GRR60,SR1,GRR62,Stratum,PSU
40.94,4.00,2.00,3.00,3.00,3.00,4.00,5.00,1.00,5.00,2.00,4.00,1.00,2.00,2.00,3.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,2.00,3.00,6.00,,3.00,5.00,2.00,4.00,3.00,5.00,1.00,4.00,1.00,1.00,1.00,4.00,3.00,1.00,2.00,2.00,3.00,1.00,1.00,2.00,2.00,1.00,2.00,1.00,1.00,2.00,2.00,3.00,3.00,3.00,3.00,1.00,4.00,2.00,,201301001.00,1.00
40.94,4.00,2.00,3.00,5.00,3.00,6.00,6.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,4.00,4.00,1.00,3.00,1.00,2.00,3.00,,1.00,2.00,1.00,3.00,,2.00,3.00,3.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,3.00,3.00,5.00,,2.00,1.00,201301001.00,1.00
40.94,4.00,2.00,3.00,6.00,3.00,4.00,3.00,1.00,6.00,7.00,5.00,3.00,1.00,1.00,7.00,3.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,2.00,3.00,4.00,2.00,2.00,2.00,1.00,1.00,4.00,3.00,1.00,3.00,1.00,2.00,1.00,4.00,3.00,1.00,2.00,2.00,4.00,1.00,2.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,3.00,3.00,4.00,2.00,3.00,3.00,2.00,1.00,201301001.00,1.00
40.94,5.00,2.00,3.00,2.00,3.00,3.00,4.00,1.00,6.00,5.00,6.00,2.00,1.00,2.00,4.00,3.00,2.00,2.00,2.00,1.00,2.00,2.00,3.00,3.00,3.00,6.00,2.00,2.00,5.00,2.00,2.00,4.00,4.00,1.00,4.00,1.00,1.00,1.00,6.00,3.00,1.00,2.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,3.00,2.00,2.00,2.00,2.00,4.00,4.00,2.00,5.00,2.00,1.00,1.00,201301001.00,1.00
40.94,5.00,2.00,3.00,3.00,3.00,3.00,3.00,1.00,6.00,5.00,4.00,,2.00,2.00,7.00,3.00,2.00,2.00,2.00,2.00,2.00,2.00,4.00,2.00,3.00,3.00,2.00,2.00,1.00,4.00,4.00,1.00,5.00,1.00,3.00,1.00,2.00,1.00,4.00,3.00,1.00,2.00,2.00,4.00,2.00,2.00,1.00,1.00,2.00,2.00,3.00,2.00,2.00,2.00,1.00,4.00,3.00,3.00,1.00,3.00,2.00,1.00,201301001.00,1.00
40.94,5.00,2.00,3.00,4.00,1.00,4.00,4.00,1.00,5.00,7.00,6.00,4.00,1.00,1.00,2.00,4.00,3.00,2.00,2.00,1.00,1.00,2.00,4.00,3.00,4.00,4.00,2.00,2.00,5.00,4.00,2.00,5.00,5.00,1.00,4.00,1.00,2.00,1.00,4.00,3.00,1.00,5.00,2.00,5.00,1.00,2.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,4.00,4.00,3.00,3.00,2.00,1.00,1.00,3.00,201301001.00,1.00
40.94,5.00,2.00,3.00,4.00,3.00,5.00,5.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,2.00,2.00,1.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,5.00,2.00,2.00,5.00,5.00,1.00,4.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,3.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,3.00,4.00,2.00,2.00,1.00,201301001.00,1.00
40.94,5.00,2.00,3.00,5.00,1.00,3.00,4.00,1.00,5.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,2.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,4.00,3.00,,1.00,1.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,1.00,2.00,1.00,1.00,2.00,3.00,2.00,2.00,2.00,1.00,1.00,3.00,3.00,4.00,3.00,2.00,1.00,201301001.00,1.00
40.94,5.00,2.00,3.00,6.00,3.00,3.00,4.00,1.00,4.00,1.00,1.00,1.00,1.00,2.00,1.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,5.00,2.00,3.00,4.00,3.00,1.00,4.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,2.00,3.00,1.00,4.00,2.00,1.00,2.00,201301001.00,1.00
40.94,5.00,2.00,3.00,6.00,3.00,8.00,8.00,1.00,5.00,7.00,5.00,1.00,2.00,2.00,7.00,4.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,4.00,4.00,3.00,2.00,2.00,5.00,2.00,2.00,2.00,5.00,1.00,3.00,2.00,2.00,1.00,4.00,3.00,1.00,2.00,2.00,4.00,1.00,2.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,3.00,3.00,4.00,3.00,1.00,3.00,2.00,1.00,201301001.00,1.00
40.94,6.00,2.00,3.00,1.00,3.00,4.00,3.00,1.00,4.00,4.00,4.00,4.00,2.00,2.00,8.00,3.00,3.00,2.00,2.00,2.00,2.00,2.00,4.00,4.00,3.00,3.00,2.00,2.00,4.00,4.00,3.00,3.00,5.00,1.00,4.00,2.00,2.00,1.00,4.00,3.00,1.00,2.00,2.00,3.00,2.00,3.00,1.00,2.00,2.00,2.00,3.00,1.00,1.00,2.00,3.00,4.00,3.00,1.00,1.00,3.00,2.00,,201301001.00,1.00
42.80,3.00,2.00,3.00,2.00,3.00,4.00,4.00,2.00,1.00,1.00,1.00,1.00,,2.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,3.00,3.00,3.00,1.00,4.00,1.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,4.00,1.00,5.00,4.00,2.00,1.00,201301001.00,1.00
42.80,3.00,2.00,3.00,3.00,3.00,5.00,5.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,4.00,4.00,3.00,2.00,1.00,4.00,1.00,1.00,1.00,1.00,1.00,3.00,1.00,2.00,2.00,1.00,1.00,2.00,2.00,1.00,2.00,3.00,2.00,2.00,2.00,1.00,1.00,3.00,2.00,5.00,4.00,2.00,1.00,201301001.00,1.00
42.80,3.00,2.00,3.00,7.00,3.00,5.00,5.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,3.00,3.00,5.00,1.00,4.00,1.00,2.00,1.00,1.00,3.00,1.00,2.00,2.00,1.00,1.00,2.00,2.00,1.00,2.00,2.00,2.00,1.00,2.00,2.00,2.00,1.00,4.00,3.00,4.00,3.00,2.00,1.00,201301001.00,1.00
42.80,4.00,2.00,3.00,2.00,1.00,3.00,4.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,3.00,4.00,3.00,1.00,1.00,4.00,1.00,2.00,1.00,1.00,1.00,3.00,1.00,6.00,1.00,1.00,2.00,3.00,1.00,1.00,2.00,3.00,2.00,2.00,2.00,1.00,1.00,2.00,3.00,5.00,3.00,2.00,1.00,201301001.00,1.00
42.80,4.00,2.00,3.00,2.00,3.00,4.00,5.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,4.00,4.00,2.00,1.00,4.00,1.00,1.00,1.00,1.00,1.00,3.00,1.00,2.00,2.00,1.00,1.00,2.00,2.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,4.00,2.00,5.00,3.00,2.00,1.00,201301001.00,1.00
42.80,4.00,2.00,3.00,2.00,3.00,5.00,5.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,5.00,4.00,3.00,1.00,5.00,1.00,4.00,1.00,1.00,3.00,1.00,1.00,3.00,1.00,1.00,1.00,2.00,3.00,2.00,2.00,3.00,3.00,1.00,2.00,2.00,2.00,1.00,1.00,4.00,3.00,5.00,4.00,2.00,1.00,201301001.00,1.00
42.80,4.00,2.00,3.00,3.00,1.00,5.00,5.00,1.00,5.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,2.00,1.00,3.00,2.00,2.00,2.00,,,,,,,2.00,3.00,3.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,3.00,2.00,3.00,5.00,3.00,1.00,5.00,201301001.00,1.00
42.80,4.00,2.00,3.00,3.00,3.00,4.00,4.00,1.00,6.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,2.00,2.00,1.00,2.00,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,4.00,3.00,5.00,1.00,4.00,1.00,2.00,3.00,1.00,1.00,1.00,1.00,2.00,1.00,2.00,1.00,1.00,2.00,1.00,2.00,1.00,2.00,2.00,2.00,1.00,1.00,4.00,3.00,5.00,3.00,1.00,1.00,201301001.00,1.00
42.80,4.00,2.00,3.00,3.00,3.00,4.00,5.00,1.00,5.00,5.00,4.00,2.00,2.00,2.00,7.00,3.00,3.00,,,,,2.00,4.00,4.00,3.00,4.00,2.00,2.00,5.00,2.00,2.00,5.00,5.00,1.00,4.00,1.00,2.00,1.00,4.00,3.00,1.00,2.00,2.00,3.00,2.00,3.00,3.00,1.00,1.00,2.00,3.00,3.00,2.00,2.00,4.00,4.00,1.00,3.00,2.00,2.00,2.00,1.00,201301001.00,1.00
42.80,4.00,2.00,3.00,5.00,1.00,6.00,5.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,5.00,3.00,3.00,3.00,4.00,1.00,3.00,1.00,2.00,3.00,1.00,2.00,1.00,2.00,2.00,1.00,2.00,3.00,2.00,2.00,2.00,2.00,3.00,2.00,2.00,2.00,1.00,1.00,3.00,3.00,4.00,3.00,2.00,1.00,201301001.00,1.00
42.80,4.00,2.00,3.00,6.00,3.00,5.00,5.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,3.00,2.00,3.00,3.00,1.00,4.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,6.00,1.00,2.00,3.00,2.00,1.00,2.00,2.00,2.00,3.00,2.00,2.00,1.00,1.00,4.00,3.00,5.00,3.00,2.00,1.00,201301001.00,1.00
42.80,6.00,2.00,3.00,2.00,3.00,4.00,4.00,2.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,5.00,4.00,2.00,5.00,5.00,1.00,4.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,2.00,3.00,2.00,2.00,1.00,2.00,2.00,3.00,2.00,2.00,1.00,1.00,1.00,1.00,5.00,1.00,2.00,1.00,201301001.00,1.00
43.89,5.00,1.00,3.00,1.00,1.00,8.00,8.00,1.00,6.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,3.00,1.00,2.00,2.00,4.00,1.00,,1.00,,,,,6.00,,2.00,3.00,2.00,2.00,1.00,2.00,3.00,,2.00,2.00,1.00,1.00,3.00,,4.00,,2.00,1.00,201301001.00,1.00
43.89,5.00,1.00,3.00,2.00,3.00,8.00,8.00,1.00,4.00,2.00,2.00,1.00,2.00,2.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,2.00,1.00,1.00,1.00,5.00,2.00,2.00,5.00,5.00,1.00,4.00,1.00,1.00,1.00,7.00,1.00,2.00,1.00,2.00,1.00,2.00,2.00,3.00,2.00,1.00,2.00,,1.00,,,1.00,1.00,1.00,1.00,4.00,3.00,1.00,3.00,201301001.00,1.00
43.89,5.00,1.00,3.00,3.00,1.00,5.00,5.00,1.00,6.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,5.00,4.00,4.00,2.00,5.00,2.00,3.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,3.00,5.00,2.00,2.00,1.00,201301001.00,1.00
43.89,5.00,1.00,3.00,3.00,3.00,3.00,3.00,1.00,6.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,1.00,2.00,3.00,2.00,6.00,4.00,8.00,1.00,3.00,3.00,5.00,5.00,1.00,4.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,2.00,1.00,2.00,1.00,2.00,2.00,1.00,1.00,2.00,2.00,1.00,3.00,1.00,4.00,2.00,2.00,1.00,201301001.00,1.00
